"P2dom","P3dom","P4dom","Point","name"
8,8,10,"P4dom","NaraCOVID_CD8_027_TCR.wgcna.aim.csv"
10,9,8,"P2dom","NaraCOVID_CD8_031_TCR.wgcna.aim.csv"
9,10,8,"P3dom","NaraCOVID_CD8_031_TCR.wgcna.aim.csv"
8,8,10,"P4dom","NaraCOVID_CD8_031_TCR.wgcna.aim.csv"
10,5,8,"P2dom","NaraCOVID_CD8_035_TCR.wgcna.aim.csv"
5,10,6,"P3dom","NaraCOVID_CD8_035_TCR.wgcna.aim.csv"
8,6,10,"P4dom","NaraCOVID_CD8_035_TCR.wgcna.aim.csv"
10,4,6,"P2dom","NaraCOVID_CD8_038_TCR.wgcna.aim.csv"
4,10,7,"P3dom","NaraCOVID_CD8_038_TCR.wgcna.aim.csv"
6,7,10,"P4dom","NaraCOVID_CD8_038_TCR.wgcna.aim.csv"
10,1,5,"P2dom","NaraCOVID_CD8_040_TCR.wgcna.aim.csv"
1,10,4,"P3dom","NaraCOVID_CD8_040_TCR.wgcna.aim.csv"
5,4,10,"P4dom","NaraCOVID_CD8_040_TCR.wgcna.aim.csv"
